user_id,budget,available_days,distance_preference,num_travelers,activity_type,season,start_latitude,start_longitude,selected_attractions,total_time_hours,total_budget
21,104455.53,3,365.42,1,relaxation,2,8.792108,80.812025,"[100, 72, 111, 20]",11.43,97983.6
22,103455.92,7,462.42,1,wildlife,2,9.553226,80.737624,"[35, 18, 110, 5]",55.14,82842.03
23,14326.2,4,318.79,4,historical,3,6.895878,81.487144,"[114, 57, 79, 66, 99]",28.75,9798.22
24,313188.65,3,73.73,3,adventure,2,8.899338,80.521214,"[17, 103, 119, 73, 118, 67, 63, 95, 27]",12.09,292278.13
25,11377.25,4,185.81,2,beach,3,6.760779,79.880275,"[65, 57, 97]",20.34,10321.58
26,258983.68,1,261.23,2,adventure,2,8.602345,81.259585,"[119, 4, 14]",3.12,203806.92
27,31528.8,14,93.64,2,wildlife,1,8.784367,80.006328,"[19, 16, 56, 26, 55, 11]",42.54,24347.56
28,43752.51,7,472.02,2,relaxation,2,6.217644,80.544035,"[98, 19, 30, 95, 81, 63, 57, 87]",29.81,38865.85
29,63341.63,3,149.15,3,cultural,2,8.26244,81.016512,"[97, 17, 32, 79, 93, 104, 33, 23]",21.31,54854.63
30,118378.82,4,133.97,3,historical,3,6.701924,80.97284,"[115, 64, 106, 21, 116, 18]",29.92,75314.53
31,118397.51,2,185.71,1,beach,1,9.082228,80.407957,"[118, 98, 114, 56, 90, 37]",11.22,79873.49
32,148138.33,1,369.03,2,adventure,2,6.218551,80.02254,"[106, 97, 4]",5.97,126177.6
33,312119.8,3,334.19,2,wildlife,3,7.860257,80.118668,"[56, 57, 96, 53, 65, 39, 66, 92]",9.25,292184.2
34,11980.51,5,55.98,2,cultural,1,7.840314,80.162277,"[112, 58, 78, 91, 101, 105, 75]",24.43,8271.09
35,36561.32,5,399.14,1,wildlife,1,7.846524,79.764341,"[94, 6, 33]",22.97,29531.45
36,10627.84,3,165.57,2,historical,1,9.190354,79.967863,"[31, 90, 36, 17, 29, 60, 32, 59, 43]",18.79,7327.71
37,126218.75,7,250.0,3,adventure,2,8.489648,80.312083,"[72, 32, 61, 78, 86, 15, 5]",26.75,97983.84
38,223271.94,10,311.65,1,beach,1,8.325836,80.79619,"[72, 15, 46, 45, 51, 63, 75]",57.35,184753.79
39,370455.34,5,486.7,2,relaxation,1,8.084452,80.42751,"[98, 65, 27, 40, 101, 61, 105, 22, 47, 60]",18.87,268457.09
40,50586.47,4,336.57,1,wildlife,3,8.082898,80.361602,"[71, 52, 101, 69, 21, 113, 104, 107, 16, 4]",18.41,32741.71
41,129596.51,7,199.4,2,wildlife,2,8.54877,79.67778,"[96, 93, 99, 116, 89, 78, 25, 33]",50.87,111204.24
42,78740.25,14,314.31,2,adventure,2,6.247138,80.727662,"[47, 77, 22, 19, 40, 56, 50, 55, 118, 66]",89.33,58405.61
43,204785.22,10,351.7,2,relaxation,3,6.054274,80.467293,"[43, 67, 7, 105, 6, 33, 103, 53, 27, 69, 15, 52, 44]",72.53,185790.69
44,113813.99,5,280.22,2,beach,1,8.047693,81.460304,"[6, 50, 102, 27, 26, 41, 53, 40, 74, 94, 21, 55]",16.96,82485.74
45,361331.08,10,379.72,2,relaxation,1,9.481312,80.479297,"[40, 3, 30, 51, 46, 70]",78.47,308358.57
46,140808.37,2,54.86,4,adventure,2,9.579857,81.666081,"[98, 20, 104, 66, 14, 11]",10.39,121955.41
47,44170.32,7,304.59,3,relaxation,2,6.97135,81.630604,"[20, 38, 111, 23, 101, 74, 102, 61, 117, 41, 88]",49.06,36248.21
48,441547.95,1,231.08,2,wildlife,3,9.069189,79.808591,"[67, 14, 113]",5.68,307924.95
49,80139.18,1,307.58,2,wildlife,3,6.270865,79.630108,"[94, 105, 2]",3.06,72529.42
50,38658.12,5,239.4,1,cultural,1,8.810624,79.520051,"[35, 113, 49, 44, 95, 104, 77]",38.78,31615.03
51,121438.76,2,380.42,5,wildlife,1,8.601925,81.590322,"[15, 87, 19, 93, 77]",12.71,74199.82
52,346474.54,3,493.85,4,relaxation,1,7.426995,81.211972,"[83, 90, 7, 62, 69, 34]",17.39,209647.22
53,78254.09,5,341.61,2,adventure,1,7.542364,80.485255,"[64, 85, 114, 120, 103, 38, 95, 92, 42]",35.91,60983.81
54,17867.54,2,54.14,1,cultural,2,7.966255,81.106436,"[97, 67, 63, 71, 120, 96]",12.93,15627.9
55,11543.66,7,167.56,4,beach,1,6.292936,81.198055,"[100, 22, 85, 15, 1, 47, 28, 60, 38]",52.08,7339.37
56,198528.39,1,367.65,1,adventure,2,8.049451,81.200834,"[27, 45, 50]",6.52,163924.81
57,128125.7,2,290.4,2,relaxation,1,8.640679,81.402488,"[45, 40, 14, 84, 30, 4]",11.9,81221.58
58,38406.93,5,235.29,3,cultural,3,7.207819,80.959102,"[27, 80, 44, 97, 77, 62, 30, 4]",29.16,28399.63
59,14996.79,4,485.63,1,cultural,1,7.655372,79.553123,"[78, 2, 63, 21, 17, 66, 68, 35]",21.94,11202.28
60,77005.85,5,294.32,1,adventure,1,7.966592,80.440021,"[113, 42, 26, 50, 102, 76, 32, 100, 38, 69, 39, 2]",28.44,46810.05
61,183217.77,5,404.31,2,relaxation,1,9.193634,80.897658,"[13, 25, 35, 110, 37, 16, 105, 64, 39, 54, 66]",15.37,120261.4
62,133411.16,14,438.05,3,adventure,3,8.528828,80.015131,"[75, 50, 95, 81, 14, 113, 9, 42, 87]",77.31,114789.27
63,121721.92,5,450.1,4,relaxation,2,8.694865,80.549476,"[99, 40, 29, 66, 55, 107, 70, 18, 32, 90]",39.12,94727.4
64,30270.8,4,393.95,1,beach,2,9.143963,81.85313,"[48, 58, 96, 52, 59, 4, 94, 119, 95, 69, 79, 16]",25.96,21457.17
65,15601.79,4,474.01,2,historical,1,8.192008,80.105237,"[18, 82, 53, 83, 65, 3, 105]",28.71,13119.26
66,97656.79,2,478.29,2,wildlife,1,7.620353,81.260692,"[112, 82, 80]",10.7,69900.54
67,430860.94,5,81.96,1,wildlife,1,6.804252,81.415064,"[77, 84, 117, 35, 7, 75, 113, 64]",30.55,349202.39
68,27172.91,4,131.54,2,historical,3,8.488447,80.414641,"[16, 17, 2, 119, 38, 26, 58, 55, 112, 30]",16.39,22746.81
69,79028.37,5,498.5,2,mixed,1,6.656576,80.183646,"[94, 34, 85, 114, 35, 64]",17.84,62538.14
70,130558.08,4,401.35,3,wildlife,2,9.07141,81.79113,"[89, 81, 116, 37, 61, 96, 1, 62, 41, 47]",20.96,98742.47
71,329259.48,10,376.29,2,historical,1,8.47881,81.203772,"[94, 41, 32]",71.93,264646.68
72,134326.2,1,230.97,2,mixed,1,9.749955,80.263104,"[75, 20, 83]",6.36,117379.41
73,145440.15,4,283.75,2,mixed,3,8.567697,80.136887,"[81, 48, 117, 28, 94, 54, 29, 19, 34, 107, 15, 92]",20.5,110550.74
74,257378.0,5,428.64,1,mixed,3,8.970276,80.480978,"[60, 69, 29, 96]",33.24,227484.93
75,128997.48,7,215.45,4,adventure,2,9.560484,79.629356,"[99, 80, 24, 5, 109]",23.9,114600.47
76,78935.24,1,110.66,2,beach,1,9.704721,80.979049,"[56, 33, 112]",6.36,47508.65
77,222838.5,10,303.22,2,wildlife,3,8.409744,79.536511,"[87, 49, 29, 115, 12, 93, 120, 11, 116, 21]",30.53,210945.82
78,43493.21,7,356.82,1,adventure,2,9.374224,81.843576,"[96, 29, 45, 97, 80, 115, 33, 89, 98]",32.59,27902.17
79,66631.17,5,355.53,3,mixed,3,9.442208,80.242756,"[10, 112, 95, 76, 58]",15.09,41064.09
80,48137.43,14,242.2,1,relaxation,1,9.680072,80.960842,"[70, 1, 82, 27, 67, 96, 120, 8, 42, 81]",70.0,36014.71
81,89540.5,3,315.77,4,wildlife,1,8.672626,80.229137,"[54, 52, 75, 87]",9.38,78692.49
82,311897.16,4,66.76,2,historical,1,5.938457,81.126885,"[50, 7, 14, 35, 67]",15.67,228494.8
83,22840.86,4,112.79,1,mixed,3,7.604785,81.192681,"[38, 53, 21, 4, 3, 66, 74, 89]",15.63,13816.29
84,359228.54,4,161.31,1,beach,1,5.908518,81.632991,"[85, 105, 15, 35, 107, 46, 111, 57]",21.45,303336.05
85,130635.53,3,141.11,1,wildlife,3,9.681153,79.592844,"[13, 109, 30, 23]",10.62,101539.79
86,86862.07,7,313.35,1,mixed,2,9.226529,80.256134,"[95, 43, 76, 73, 12, 1, 39, 26, 49, 24, 56, 22, 34, 103]",26.69,64513.25
87,85390.58,4,460.78,4,cultural,1,9.554865,79.9009,"[41, 44, 49, 11, 99, 17, 90, 117]",31.76,61586.01
88,181141.44,5,71.85,4,historical,1,7.730201,80.332224,"[41, 18, 39, 38]",17.11,147994.56
89,157805.6,7,245.1,2,wildlife,3,8.506624,80.047627,"[100, 9, 70, 117, 2]",29.08,142970.0
90,271824.63,3,299.2,2,historical,2,9.21813,80.724047,"[12, 67, 24, 106, 64, 47, 10, 110, 11]",17.85,233782.96
91,322721.05,5,115.2,1,wildlife,1,7.753643,79.962725,"[84, 99, 81, 75, 119, 63, 16]",17.51,269729.96
92,312541.02,5,449.11,4,historical,3,9.658987,79.98016,"[106, 78, 8, 114]",23.42,215139.13
93,41323.95,1,433.15,2,relaxation,3,8.24722,80.875185,"[48, 76, 51]",5.76,28758.12
94,28562.81,4,176.71,2,cultural,1,8.443034,79.823182,"[5, 6, 18, 43, 28, 22, 104, 108, 44]",20.18,19198.53
95,207504.29,4,272.05,3,wildlife,2,6.983496,81.101325,"[69, 92, 102, 78, 64, 37, 104, 14, 41, 95, 109, 7]",19.9,137367.31
96,102740.23,7,366.03,1,wildlife,3,7.631852,79.654377,"[43, 56, 59, 64, 78, 35, 51, 49]",43.56,83208.95
97,28421.09,7,361.32,2,relaxation,3,7.975414,79.757176,"[95, 38, 98, 69, 100, 36, 57, 6, 92, 28, 11, 67]",44.22,18558.3
98,77568.59,3,58.59,1,mixed,3,9.313783,79.954455,"[86, 74, 75, 115, 68, 54, 49, 58, 107]",12.69,59483.41
99,40568.82,4,299.2,2,mixed,2,7.240908,80.973675,"[29, 85, 49, 27]",24.56,32111.56
100,343690.01,7,83.82,2,historical,1,8.223649,80.254911,"[27, 107, 75, 101, 89, 24, 34, 20, 91, 115]",34.12,207153.08
101,132345.31,4,158.94,8,beach,3,8.980798,79.654165,"[13, 118, 82, 45, 120]",13.34,109529.97
102,135492.57,2,479.76,2,cultural,1,9.12245,79.602059,"[95, 107, 23, 3, 103, 60]",12.16,88653.59
103,129107.21,4,417.59,2,wildlife,2,6.901292,79.742133,"[68, 74, 27, 113, 6, 17, 8, 115, 53, 10, 33, 104]",25.31,105333.2
104,114293.12,5,110.51,4,wildlife,1,6.986082,79.729557,"[35, 108, 2, 92, 21]",27.25,69730.26
105,43707.8,2,385.89,2,beach,1,8.121861,80.234542,"[72, 110, 60, 103, 109, 69]",13.34,28073.26
106,112849.54,2,468.88,1,relaxation,1,6.68125,80.493862,"[32, 10, 24, 25, 75]",7.79,106512.85
107,21657.56,5,138.06,4,mixed,1,8.139492,80.201767,"[35, 36, 114, 13, 37, 113, 14, 97, 38, 79, 45, 5]",29.55,18069.22
108,235376.4,4,325.88,4,mixed,3,9.595841,80.384826,"[87, 26, 83, 99, 58, 27, 9, 13]",23.44,191965.14
109,148054.03,1,497.61,6,cultural,3,9.436295,81.894361,"[91, 27, 90]",7.88,133526.28
110,23189.24,2,242.89,2,wildlife,1,7.324972,80.452623,"[116, 107, 58, 74, 33, 91]",15.59,20711.4
111,22660.28,7,205.34,6,adventure,2,9.230661,81.35172,"[117, 62, 74, 43, 11, 91, 114]",42.04,14733.65
112,73532.56,1,373.84,2,historical,2,8.111942,81.658415,"[44, 96, 89]",5.78,66178.12
113,126405.56,10,346.25,1,cultural,1,6.712702,80.56949,"[72, 82, 20, 88, 108, 96, 3, 75, 103, 29, 23, 31]",67.64,104944.73
114,102712.39,1,162.74,2,mixed,2,8.740609,81.65239,"[90, 37, 40]",4.74,80977.26
115,33929.95,1,281.65,2,wildlife,1,5.905531,80.843914,"[61, 18, 39]",6.37,31856.23
116,276517.42,4,81.74,2,mixed,1,8.747293,80.011001,"[100, 66, 12, 45, 48, 24, 41, 35, 97, 84, 55, 36]",13.9,196769.28
117,19955.94,1,115.64,1,cultural,3,8.736332,81.494429,"[22, 11, 107]",4.4,13099.22
118,42888.96,2,312.54,5,beach,2,6.831042,81.70232,"[83, 80, 30, 102, 119, 88]",15.49,31094.72
119,103239.87,1,366.3,4,relaxation,1,6.001331,79.866734,"[29, 43, 104]",3.8,62489.11
120,17587.85,5,99.69,2,beach,2,6.136154,81.148371,"[35, 76, 26]",17.96,12830.13
121,120518.9,4,279.6,2,relaxation,3,8.003794,80.742578,"[2, 71, 88, 92, 8, 5, 106, 1]",31.62,99522.83
122,13906.65,1,317.36,1,adventure,2,6.393455,79.61722,"[20, 27, 37]",6.62,8439.83
123,15933.57,7,216.57,1,cultural,1,6.776565,80.971325,"[72, 46, 23, 100, 119, 76, 118, 27, 42]",46.42,10173.91
124,367305.97,5,300.64,6,cultural,1,6.500434,81.68353,"[109, 115, 28, 60, 72, 91, 11, 10, 94, 57, 120]",24.85,242252.02
125,39097.43,10,143.9,2,wildlife,3,8.361157,80.73352,"[84, 60, 23, 76, 52, 21, 53]",51.2,30445.15
126,134130.84,5,148.84,3,wildlife,2,6.413906,80.419121,"[83, 78, 69, 117, 100, 25]",31.44,89527.0
127,149450.51,2,216.32,1,historical,1,7.67685,80.372001,"[106, 38, 58, 43, 71, 12]",11.24,117759.91
128,71068.79,5,488.43,4,relaxation,3,6.995656,80.854972,"[116, 67, 51, 66, 64, 92, 103, 4, 90]",36.72,49576.99
129,139574.34,1,291.82,1,wildlife,1,8.790317,80.121836,"[73, 26, 32]",7.26,101378.43
130,280992.56,3,126.55,3,wildlife,1,8.613868,80.669928,"[61, 93, 63, 64, 12, 77, 53, 100, 66]",11.9,247466.61
131,100307.05,3,62.6,1,wildlife,1,8.554164,80.093923,"[89, 80, 95, 63, 20, 111, 30, 113, 81]",14.6,86264.8
132,23338.28,5,252.21,2,historical,3,7.916357,79.972047,"[43, 53, 84, 4]",38.82,16963.71
133,142360.27,7,471.09,3,relaxation,1,9.460157,80.618675,"[8, 82, 13, 12, 9, 69, 99, 32, 23, 6, 106, 40]",23.02,132116.27
134,155721.33,3,84.47,2,beach,2,7.013246,80.976123,"[75, 20, 25, 83, 5, 92, 97, 98, 63]",18.17,97189.8
135,122470.95,14,214.43,2,adventure,3,6.947663,81.862598,"[68, 1, 7, 33, 21, 5, 71, 14, 87, 43, 100, 53, 113]",51.13,107670.08
136,426070.98,7,168.58,2,relaxation,3,8.76922,80.148006,"[89, 83, 71, 20, 91, 51, 78, 72]",37.69,402880.18
137,258102.82,3,257.95,2,beach,2,9.559823,79.757756,"[116, 21, 67, 15, 101, 82, 89, 118, 33]",10.09,239661.06
138,28459.83,10,474.42,5,wildlife,3,9.294399,81.170768,"[60, 40, 83, 91, 99, 39, 13]",64.54,19274.28
139,111915.94,2,253.24,4,historical,2,7.967682,80.415526,"[107, 61, 15, 28]",9.98,93795.96
140,279414.39,2,138.12,2,wildlife,2,6.316061,81.014797,"[69, 64, 118]",15.65,223556.32
141,412935.41,4,50.15,6,relaxation,3,9.288991,80.800001,"[112, 17, 13, 116]",30.92,288422.38
142,303668.56,3,262.37,2,historical,3,6.380306,80.417146,"[92, 28, 42, 50, 16, 59, 69, 3, 67]",11.11,254874.4
143,53425.46,7,332.57,2,relaxation,1,9.719009,81.408781,"[34, 50, 116, 29, 12, 55]",27.33,44149.26
144,42683.22,5,153.99,3,wildlife,1,7.964097,81.777456,"[71, 76, 52]",15.63,37016.55
145,102649.85,1,380.58,2,cultural,2,9.237456,81.59943,"[48, 7, 30]",5.94,75269.59
146,131644.8,4,305.35,3,mixed,3,6.306907,79.50344,"[66, 118, 86, 56]",24.55,78998.51
147,39519.46,4,498.43,5,historical,3,6.468019,81.585713,"[50, 47, 29, 102]",22.35,24131.01
148,16308.81,5,406.34,2,cultural,3,7.353736,81.287823,"[77, 83, 88, 1, 42, 100, 70, 94]",19.57,14398.1
149,19711.93,4,283.67,6,mixed,1,6.176134,80.403576,"[22, 13, 43, 57, 114, 5, 27, 7, 47, 106, 40]",30.13,17694.58
150,199460.24,1,219.18,4,adventure,2,7.362661,80.384938,"[93, 99, 78]",3.82,122478.9
151,112463.56,2,66.07,1,historical,3,7.167012,80.73916,"[48, 68, 29, 57]",14.01,91522.11
152,134813.63,4,157.75,2,historical,3,7.406129,79.646832,"[76, 120, 73, 21, 51, 36, 12, 15, 113, 106, 58, 119]",18.61,107479.23
153,47568.28,3,364.51,3,historical,1,6.658769,81.518943,"[46, 93, 77, 58, 62, 9, 112]",14.32,29052.54
154,57732.02,2,286.49,5,mixed,2,7.886667,81.240745,"[73, 32, 21, 90, 95, 104]",15.4,47796.54
155,139777.41,4,56.58,2,cultural,1,7.038447,80.675256,"[79, 83, 68, 100, 54, 74, 31, 24, 45, 85, 116, 72]",22.79,108247.16
156,74382.39,2,224.52,2,cultural,2,8.376165,80.746198,"[95, 77, 37, 91, 45, 26]",11.15,57123.74
157,447409.25,7,324.3,4,adventure,1,8.401801,80.150932,"[97, 78, 91, 55, 51, 39, 106, 73, 70, 100, 92, 68]",26.72,414327.83
158,16353.51,7,63.31,3,wildlife,1,8.915962,81.19355,"[106, 103, 51, 80, 50, 98]",38.0,15311.13
159,146911.65,2,279.32,1,mixed,3,6.800861,80.833911,"[19, 55, 42, 107, 27, 48]",14.29,102835.3
160,33212.89,7,85.09,2,adventure,1,8.394816,80.478411,"[56, 28, 95]",23.17,20876.66
161,97661.96,5,379.19,1,wildlife,1,6.198751,81.806963,"[81, 27, 89, 120, 48]",33.88,69646.3
162,27352.32,2,260.89,2,wildlife,1,9.367438,80.521276,"[40, 94, 56, 45, 115, 57]",7.06,24447.92
163,58227.19,4,149.0,4,relaxation,2,6.436224,79.542288,"[118, 74, 17, 52, 97, 117, 99, 11, 38, 110]",24.43,45939.44
164,256843.29,4,244.48,1,beach,3,6.685067,80.572345,"[74, 14, 111]",13.97,204506.31
165,439899.07,10,94.5,2,mixed,3,8.895551,79.999409,"[103, 37, 18, 115, 23, 86, 77, 29, 118, 15, 85, 48]",50.42,417857.13
166,111298.59,3,204.62,2,mixed,1,6.419038,81.757792,"[8, 10, 68, 29, 23, 15, 60, 55, 79]",17.98,81352.26
167,40624.53,7,213.5,3,mixed,3,9.626375,80.252185,"[108, 62, 31, 57, 42, 46, 118, 66, 6, 55, 22]",50.68,30916.74
168,17638.76,10,68.57,2,historical,2,8.263045,80.686837,"[42, 9, 61, 102, 103, 85, 38, 89, 107, 69, 24, 33]",43.84,12161.49
169,71998.02,10,70.13,2,beach,1,9.376923,79.671426,"[83, 41, 5, 113, 88, 45, 107, 9, 16, 63, 44, 119, 120]",46.8,62590.78
170,12245.48,7,84.87,2,beach,2,7.897106,81.493826,"[117, 83, 59, 55, 79]",23.81,8165.25
171,75334.84,4,378.67,4,mixed,1,8.763808,81.757171,"[38, 41, 108, 16, 5, 74, 52, 94]",27.44,49864.81
172,96332.59,1,314.65,2,mixed,3,7.849923,81.10673,"[64, 96, 109]",7.41,79513.71
173,85010.01,3,347.6,2,beach,3,8.639727,81.138173,"[9, 102, 94, 91, 89, 15, 92, 62, 8]",15.16,54522.78
174,320440.99,1,98.54,2,cultural,2,8.990407,81.177785,"[26, 35, 5]",3.34,281102.7
175,400791.99,3,74.0,2,wildlife,3,9.468717,81.616921,"[115, 65, 76, 42, 71, 3, 8, 119, 53]",19.25,313945.99
176,379413.0,1,487.91,3,relaxation,1,6.255845,79.684864,"[12, 25, 107]",4.07,306050.13
177,445419.72,3,459.97,3,wildlife,2,8.422661,80.429336,"[6, 24, 54, 15, 85, 45, 110, 26, 75]",16.71,357844.85
178,42106.85,2,169.74,4,wildlife,2,7.778651,81.302952,"[57, 10, 23, 100, 120, 56]",12.45,35806.81
179,47045.31,3,50.15,2,relaxation,3,6.625792,80.195423,"[80, 63, 28, 9, 91, 59, 22, 82, 29]",21.01,33024.56
180,118623.6,2,336.22,3,mixed,1,7.717237,81.14683,"[83, 72, 3, 50, 94, 70]",14.24,109215.22
181,136405.31,3,106.92,2,cultural,1,7.816765,79.97047,"[36, 90, 50, 4, 99, 40, 60, 49, 10]",21.56,107057.95
182,252377.69,14,106.65,2,relaxation,2,7.903614,79.847645,"[48, 44, 26, 57, 20, 60, 62, 116]",106.22,179381.51
183,487065.06,5,136.52,2,beach,1,9.320451,79.612353,"[85, 75, 23, 30, 102, 55, 34, 29, 62, 113]",36.17,302101.31
184,67226.48,3,427.1,3,wildlife,1,6.84077,81.410761,"[99, 36, 113, 25, 74, 13, 29, 44, 43]",13.29,54443.94
185,70889.1,1,216.23,1,mixed,2,7.399042,79.814501,"[51, 95, 45]",5.15,66790.86
186,22631.71,7,246.37,1,cultural,3,9.108321,80.924343,"[56, 28, 1, 18, 16, 88, 13]",37.25,16177.77
187,245783.19,14,344.41,2,relaxation,3,6.415234,81.538631,"[102, 73, 48, 99, 78]",63.27,175318.0
188,23336.79,10,100.21,1,mixed,3,8.020582,80.426563,"[108, 73, 55]",73.22,20384.73
189,62839.62,4,456.55,2,beach,1,8.913945,80.469321,"[91, 96, 56, 104, 51, 57, 75, 116, 111, 3]",31.07,43155.23
190,15318.09,5,117.13,1,cultural,1,7.998578,80.018845,"[80, 63, 94, 8, 47, 54, 103, 73, 57, 117]",33.83,14403.67
191,447037.85,3,285.21,4,adventure,3,8.149597,81.687347,"[74, 17, 37, 110, 21, 48, 94]",11.72,323398.68
192,87708.32,7,251.25,1,wildlife,1,9.792069,80.534605,"[95, 84, 75, 3, 21]",22.43,82385.34
193,142813.98,10,251.08,2,wildlife,3,9.703796,81.871893,"[1, 91, 40, 10, 23, 105]",79.69,110203.99
194,102006.26,7,115.08,6,adventure,2,6.465747,81.559643,"[100, 45, 44]",56.0,92247.74
195,12229.01,7,301.04,5,historical,1,8.253671,81.148529,"[31, 33, 103, 79, 39, 38, 53, 110, 34]",22.37,8015.19
196,491025.51,3,333.82,2,mixed,2,7.089937,80.457172,"[89, 6, 63, 118, 110, 36, 98, 82, 86]",15.99,386380.48
197,51126.94,7,466.8,2,adventure,3,8.575696,79.553575,"[31, 1, 100, 99, 6, 67, 97, 44, 56, 53, 17, 117, 40]",52.84,30918.85
198,69103.55,1,205.47,2,mixed,2,6.524799,81.368533,"[69, 93, 106]",5.12,43206.26
199,32331.55,3,319.75,2,mixed,1,8.888748,79.583643,"[97, 19, 8, 96, 42, 99, 92, 7, 109]",9.47,30454.86
200,70800.38,5,409.94,2,adventure,1,6.356145,81.49493,"[8, 93, 66, 53, 99, 116, 20]",33.97,58968.72
201,35114.87,5,241.12,4,relaxation,1,6.583387,81.344355,"[94, 54, 80, 75, 34, 101, 61]",15.22,29929.49
202,114469.67,3,246.02,5,adventure,3,7.197575,79.575762,"[48, 67, 49, 75, 28, 52, 104, 8]",21.2,82720.06
203,59703.58,5,56.29,2,wildlife,2,9.606666,80.00589,"[23, 45, 65, 108]",36.51,45136.62
204,32073.37,2,164.09,5,mixed,2,6.607138,80.953467,"[44, 94, 70, 4, 74]",8.76,21955.69
205,95454.34,4,264.67,4,cultural,1,7.169897,80.084908,"[120, 46, 65, 67, 43, 64]",12.4,71407.54
206,141051.6,5,464.71,2,beach,3,7.099787,80.674254,"[87, 101, 12, 28, 118, 113, 26, 81, 6]",37.82,112674.5
207,41169.07,2,123.67,2,cultural,3,9.707107,81.857332,"[66, 83, 12, 2, 4, 96]",7.07,35690.85
208,131710.94,1,245.4,1,adventure,2,6.3173,80.55153,"[71, 4, 7]",7.54,91625.28
209,266563.45,2,481.84,2,cultural,3,6.817703,79.920937,"[76, 100, 112]",9.11,234361.86
210,412484.29,5,450.68,2,mixed,2,8.71079,81.752128,"[49, 74, 106, 103, 6, 31, 120, 88]",25.6,339157.53
211,379197.13,3,345.36,2,wildlife,3,9.366703,81.891356,"[89, 119, 112, 106, 75, 65, 22]",23.05,274792.41
212,232551.95,1,145.02,3,relaxation,2,8.196466,79.594124,"[68, 93, 58]",7.13,167715.53
213,122498.02,5,382.43,3,wildlife,3,8.099821,79.540267,"[71, 58, 41, 80, 70, 81, 89, 66, 31, 59, 48, 50]",18.59,95270.51
214,28099.48,7,329.43,2,adventure,1,9.056088,80.348528,"[4, 67, 107]",53.4,26392.05
215,175872.6,10,149.41,2,cultural,2,6.845671,80.755793,"[115, 52, 74, 55, 77, 28, 17, 84, 46, 2, 45, 63]",75.74,152552.0
216,30640.21,2,183.51,3,wildlife,1,9.415139,80.038353,"[75, 25, 47, 46, 78, 113]",12.41,18884.22
217,120443.18,1,125.94,2,cultural,2,8.741316,80.966422,"[110, 78, 40]",7.63,82058.72
218,97707.72,1,114.03,5,cultural,1,7.532406,81.572128,"[30, 2, 36]",5.93,81272.06
219,134385.21,3,296.76,5,mixed,3,6.23605,81.536607,"[120, 10, 41, 49, 89, 114, 31, 8, 46]",23.84,81584.58
